"SERIE","NOMBRE","CODM","NOMBREM","CODP","NOMBREP","PAJU","FNAC","FECR","FECS","TIPO","RAZA","SEXO","COLORBO","COLORPE","COLORMO","OBSER","PROCEDE","ESTADO","PESOI","PRECIO","PPIES","PESACT","FULPES","PESDES","FECDES","NPARTO","DPARTO","NSERVI","FECUA","FECUP","ABORTO","EDADPP","PESOPP","TIPOAP","TIPOPS","LOTE","LPROD","LPAST","LNACI","LTEMP","ASOC1","SERIE1","ASOC2","SERIE2","ASOC3","SERIE3","ULTGDP","COD","CODAP","CODPS","TIPOREGISTRO1","TIPOREGISTRO2","RAZAPADRE","RAZAMADRE","FECNACPADRE","FECNACMADRE","NROREGPADRE1","NROREGPADRE2","NROREGMADRE1","NROREGMADRE2","ASOCPADRE1","ASOCPADRE2","ASOCMADRE1","ASOCMADRE2","TIPOREGPADRE1","TIPOREGPADRE2","TIPOREGMADRE1","TIPOREGMADRE2","CODAINIORD","Pa1","Pa2","Pa3","Pa4","UA","EsPajuelaPadre","Vaquera","Historia","NCRIAS","NPARREPOR","NABOREPOR"
"270907","","","","","","","","","","","","False","","","","","","","","","","389","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220174","","","","","","","","","","","","False","","","","","","","","","","443","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220035","","","","","","","","","","","","False","","","","","","","","","","438","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"114190","","","","","","","","","","","","False","","","","","","","","","","444","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270152","","","","","","","","","","","","False","","","","","","","","","","416","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"150102","","","","","","","","","","","","False","","","","","","","","","","413","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270200","","","","","","","","","","","","False","","","","","","","","","","423","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"150326","","","","","","","","","","","","False","","","","","","","","","","456","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220075","","","","","","","","","","","","False","","","","","","","","","","395","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"7103247","","","","","","","","","","","","False","","","","","","","","","","440","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270060","","","","","","","","","","","","False","","","","","","","","","","446","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"230004","","","","","","","","","","","","False","","","","","","","","","","596","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270186","","","","","","","","","","","","False","","","","","","","","","","466","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"194008","","","","","","","","","","","","False","","","","","","","","","","461","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270009","","","","","","","","","","","","False","","","","","","","","","","438","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270052","","","","","","","","","","","","False","","","","","","","","","","407","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"230048","","","","","","","","","","","","False","","","","","","","","","","419","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270862","","","","","","","","","","","","False","","","","","","","","","","390","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270008","","","","","","","","","","","","False","","","","","","","","","","431","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270206","","","","","","","","","","","","False","","","","","","","","","","458","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"150515","","","","","","","","","","","","False","","","","","","","","","","418","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"271241","","","","","","","","","","","","False","","","","","","","","","","422","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270069","","","","","","","","","","","","False","","","","","","","","","","454","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"150142","","","","","","","","","","","","False","","","","","","","","","","486","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270093","","","","","","","","","","","","False","","","","","","","","","","422","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220062","","","","","","","","","","","","False","","","","","","","","","","410","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"140013","","","","","","","","","","","","False","","","","","","","","","","366","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220036","","","","","","","","","","","","False","","","","","","","","","","465","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220069","","","","","","","","","","","","False","","","","","","","","","","338","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270208","","","","","","","","","","","","False","","","","","","","","","","415","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220110","","","","","","","","","","","","False","","","","","","","","","","378","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"220101","","","","","","","","","","","","False","","","","","","","","","","454","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"114031","","","","","","","","","","","","False","","","","","","","","","","427","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"270158","","","","","","","","","","","","False","","","","","","","","","","469","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
"2103007","","","","","","","","","","","","False","","","","","","","","","","447","1997-05-03 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","False","","False","0","0","0"
