"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"25372","2005-10-25 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"26005","2006-01-09 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"26036","2006-05-19 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27029","2007-08-15 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27041","2007-08-25 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27058","2007-08-28 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27065","2007-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27111","2007-07-07 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27141","2007-09-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27187","2007-09-26 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27192","2007-09-26 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27219","2007-10-16 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27228","2007-10-05 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27321","2007-11-06 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27323","2007-11-10 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"27370","2007-07-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28010","2008-03-19 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28020","2008-08-16 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28022","2008-08-18 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28029","2008-08-21 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28034","2008-08-21 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28055","2008-09-02 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28061","2008-09-03 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28076","2008-09-10 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28082","2008-09-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
