"SERIE","LOTE","FINIM","TIEMP","FFINM","TIPOE","TIPOS","CODE","CODS"
"5004","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5005","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5006","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5007","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5008","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5009","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5100","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"5101","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"6000B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6001","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6002","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6003","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6004B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6005","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6006B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
