"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"2814","1998-10-06 00:00:00","1998-07-23 00:00:00","1997-09-23 00:00:00","1998-09-10 00:00:00","103.2","0.293181818181818","352","352","1997-12-25 00:00:00","","","","","1998-01-24 00:00:00","102","387","0","1","","1997-12-25 00:00:00","","False",""
"D8048","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8132","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"E8037","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"549","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8150","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8088","1999-01-02 00:00:00","1998-12-03 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","8.5","Monta Libre","1998-04-07 00:00:00","","False",""
"3801","1999-02-01 00:00:00","1999-01-02 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","136","406","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"D8076","1999-02-01 00:00:00","1999-01-02 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"E8004","1999-02-01 00:00:00","1999-01-02 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"D8153","1999-02-16 00:00:00","1999-01-17 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","7","Monta Libre","1998-05-22 00:00:00","","False",""
"D8109","1999-03-03 00:00:00","1999-02-01 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"D8018","1999-02-01 00:00:00","1999-01-02 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","146","416","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"D8141","1999-01-20 00:00:00","1998-12-21 00:00:00","","","","","","","","","","","","1998-06-24 00:00:00","0","0","0","2","","1998-04-25 00:00:00","","False",""
"1557","1999-02-16 00:00:00","1999-01-17 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","4","274","0","7","Monta Libre","1998-05-22 00:00:00","","False",""
"6515","1999-02-01 00:00:00","1999-01-02 00:00:00","1998-01-31 00:00:00","1999-01-01 00:00:00","24.3","0.0725373134328358","335","335","","","","","","1998-12-18 00:00:00","106","376","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
