"Serie","Nombre","Raza","FechaNacimiento","NroReg1","NroReg2","Asociacion1","Asociacion2","SeriePadre","SerieMadre","NombrePadre","NombreMadre","Animal","Comentario","EsPajuelaPadre","Historia","NCICLO"
"7612","MOROCOTA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7635","ENGAÑOZA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8506","BOMBON","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8522","COLORIN","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8526","NIÑA BONITA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8527","TORDITO","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8536","CAPITANA","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8538","BOTON DE ORO","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8539","YATECITO","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8553","RESPLANDOR","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8554","GIOCONDA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8555","CHISPITA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8560","GUARIQUEÑA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8562","MARAVILLA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8566","MILAGRO","MESTIZO BRAHMAN","1988-06-10 00:00:00","","","","","","","","","True","","False","False",""
"8571","SARDINA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8573","ZARACITA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8574","CAMAGUAN","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8581","PRIMAVERA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8588","GAMUZA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8589","BARRANQUILLA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8599","CENICIENTA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8601","COCOSETE","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8606","MI DESEO","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"8615","NAVIDAD","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9513","MEDIA CARA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9514","ESPEJITO","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9518","NIÑA LUNA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9545","PA´VALENCIA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9546","CHIMENEA","MESTIZO BRAHMAN","1988-06-10 00:00:00","","","","","","","","","True","","False","False",""
"9557","MAIGUALIDA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9566","KENIKEA","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9568","REINA DEL CAMPO","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9570","ALMIRANTE","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9580","PRENDA FINA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9586","PANELA","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9589","MI VECINA","MESTIZO BRAHMAN","1989-06-08 00:00:00","","","","","","","","","True","","False","False",""
"76301","NEGRA LIBRE","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"85341","CARISUCIA","MESTIZO BRAHMAN","1988-06-08 00:00:00","","","","","","","","","True","","False","False",""
"9562","CABELLERA","MESTIZO BRAHMAN","1989-06-10 00:00:00","","","","","","","","","True","","False","False",""
"9582","DOMINO","MESTIZO BRAHMAN","1990-06-08 00:00:00","","","","","","","","","True","","False","False",""
"8551","MARIA CONSUELO","MESTIZO BRAHMAN","1987-06-10 00:00:00","","","","","","","","","True","","False","False",""
"567","AHIDA","MESTIZO BRAHMAN","1990-06-10 00:00:00","","","","","","","","","True","","False","False",""
"1566","RECUPERADA","MESTIZO BRAHMAN","1990-06-10 00:00:00","","","","","","","","","True","","False","False",""
"1590","RIO APURE","MESTIZO BRAHMAN","1990-06-10 00:00:00","","","","","","","","","True","","False","False",""
"2803","","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"2814","TRAJE DE NOVIA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2816","CARSOLEÑA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2818","LEVADURA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2820","CUNAGUARA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2823","CAYAPA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2825","","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2827","LA APUREÑA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2828","POR LAS CALLES","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2829","FONDO BLANCO","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2831","LINDA DAMA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2836","TERCIO PELAO","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2837","MANTEQUILLA","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
"2842","RASTROJO","MESTIZO BRAHMAN","1992-06-09 00:00:00","","","","","","","","","True","","False","False",""
