"Madre","Serie","Padre","Nombre","Tipologia","Pesodestete","Fecha","Caso","fecs"
"8562","D8021","","LINTERNA","VACA PROD.VACIA","0","1995-02-12 00:00:00","PARTO","1999-03-17 00:00:00"
"505","D8022","","","MAUTA","0","1995-02-13 00:00:00","PARTO","1997-11-19 00:00:00"
"505","D8023","","","MAUTE","0","1995-02-13 00:00:00","PARTO","1997-08-13 00:00:00"
"7591","D8024","","","MAUTE","0","1995-02-09 00:00:00","PARTO","1997-07-21 00:00:00"
"558","D8025","","","MAUTE","0","1995-02-22 00:00:00","PARTO","1997-03-05 00:00:00"
"1599","D8026","","","MAUTE","0","1995-02-14 00:00:00","PARTO","1997-08-13 00:00:00"
"179","D8027","","","MAUTE","0","1995-02-23 00:00:00","PARTO","1997-05-07 00:00:00"
"1512","D8028","","","MAUTE","0","1995-02-25 00:00:00","PARTO","1996-05-08 00:00:00"
"9546","D8029","","","MAUTE","0","1995-02-25 00:00:00","PARTO",""
"1529","D8030","","","MAUTE","0","1995-02-28 00:00:00","PARTO","1997-08-13 00:00:00"
"1511","D8031","","CACHUCHA","VACA PROD.VACIA","0","1995-02-28 00:00:00","PARTO","1999-03-17 00:00:00"
"8553","D8032","","PAJUI","VACA PROD.VACIA","0","1995-03-01 00:00:00","PARTO","1998-09-30 00:00:00"
"71","D8033","","","MAUTE","0","1995-03-06 00:00:00","PARTO","1997-05-07 00:00:00"
"157","D8035","","","VACA VACIA","0","1995-03-13 00:00:00","PARTO","1998-06-08 00:00:00"
"9580","D8036","","","MAUTE","0","1995-04-02 00:00:00","PARTO","1999-03-08 00:00:00"
"8560","D8037","","","MAUTE","0","1995-03-22 00:00:00","PARTO","1997-08-13 00:00:00"
"1527","D8038","","LA GUAJIRA","VACA PREÑADA","0","1995-03-22 00:00:00","PARTO",""
"7607","D8039","","","MAUTE","0","1995-03-24 00:00:00","PARTO","1997-07-21 00:00:00"
"7017","D8040","","COTUA","VACA PREÑADA","0","1995-03-25 00:00:00","PARTO",""
"8551","D8041","","","MAUTE","0","1995-03-26 00:00:00","PARTO","1997-09-15 00:00:00"
"1524","D8042","","","VACA VACIA","0","1995-03-31 00:00:00","PARTO",""
"7014","D8043","","","MAUTE","0","1995-04-04 00:00:00","PARTO","1997-08-13 00:00:00"
"2826","D8044","","PTO.PAEZ","VACA VACIA","0","1995-04-12 00:00:00","PARTO",""
"9589","D8045","","","MAUTE","0","1995-04-16 00:00:00","PARTO","1997-08-13 00:00:00"
"2806","D8046","","","VACA PROD.VACIA","0","1995-04-16 00:00:00","PARTO",""
"9545","D8047","","","MAUTE","0","1995-04-18 00:00:00","PARTO","1997-03-05 00:00:00"
"6515","D8048","","NEGRA LIBRE","VACA PROD.VACIA","0","1995-04-25 00:00:00","PARTO",""
"2816","D8049","","","MAUTE","0","1995-04-28 00:00:00","PARTO","1997-08-13 00:00:00"
"557","D8050","","","MAUTE","0","1995-04-28 00:00:00","PARTO","1998-01-18 00:00:00"
"3","D8051","","ORIGUELO","VACA VACIA","0","1995-04-29 00:00:00","PARTO","1999-03-17 00:00:00"
"6502","D8052","","","MAUTE","0","1995-05-02 00:00:00","PARTO","1997-09-15 00:00:00"
"81","D8053","","POR UN TIEMPO","VACA VACIA","0","1995-05-05 00:00:00","PARTO",""
"8536","D8054","","","MAUTE","0","1995-05-06 00:00:00","PARTO","1998-10-01 00:00:00"
