"SERIE","FECHA","LTAM","LTPM","LOTE","DIFDIA","LactanciaParcial","LactanciaAcumulada","DiasAcumulados","PromedioAcumulado","LactanciaAjustada","LactanciaEstimada","IndiceLechero","IndiceLecheroAjustado","Pario","LTTOTAL","Historia","NCICLO"
"231","1999-03-19 00:00:00","3.9","0","","6","23.4","316.079166666667","104","3.03922275641026","0","942.159054487179","0","0","True","3.9","False",""
"231","1999-03-26 00:00:00","4","0","","7","28","344.079166666667","111","3.09981231231231","0","960.941816816817","0","0","True","4","False",""
"231","1999-04-01 00:00:00","5","0","","6","30","374.079166666667","117","3.19725783475783","0","991.149928774929","0","0","True","5","False",""
"231","1999-04-07 00:00:00","4.9","0","","6","29.4","403.479166666667","123","3.28031842818428","0","1016.89871273713","0","0","True","4.9","False",""
"231","1999-05-15 00:00:00","4.8","0","","9","43.2","551.079166666667","161","3.42285196687371","0","1061.08410973085","0","0","True","4.8","False",""
"231","1999-04-22 00:00:00","3.2","0","","7","22.4","449.879166666667","138","3.25999396135266","0","1010.59812801932","0","0","True","3.2","False",""
"231","1999-04-30 00:00:00","3.5","0","","8","28","477.879166666667","146","3.27314497716895","0","1014.67494292237","0","0","True","3.5","False",""
"3808","1998-12-05 00:00:00","8","0","","0","8","8","0","0","0","0","0","0","True","8","False",""
"3808","1999-08-02 00:00:00","2","0","","36374","-368274.625333333","1252.70916666667","240","5.21962152777778","782.943229166667","1618.08267361111","0","0","True","2","False",""
"3808","1999-01-09 00:00:00","6.9","0","","35","227.4125","235.4125","35","6.72607142857143","0","2085.08214285714","0","0","True","6.9","False",""
"3808","1999-01-29 00:00:00","6.4","0","","20","128","363.4125","55","6.6075","0","2048.325","0","0","True","6.4","False",""
"3808","1999-05-06 00:00:00","7","0","","6","42","1050.7125","152","6.91258223684211","0","2142.90049342105","0","0","True","7","False",""
"3808","1999-02-05 00:00:00","5.6","0","","7","39.2","402.6125","62","6.49375","0","2013.0625","0","0","True","5.6","False",""
"3808","1999-02-13 00:00:00","6.8","0","","8","54.4","457.0125","70","6.52875","0","2023.9125","0","0","True","6.8","False",""
"3808","1999-02-20 00:00:00","6.5","0","","7","45.5","502.5125","77","6.52613636363636","0","2023.10227272727","0","0","True","6.5","False",""
"3808","1999-02-27 00:00:00","7.3","0","","7","51.1","553.6125","84","6.590625","0","2043.09375","0","0","True","7.3","False",""
"3808","1999-03-13 00:00:00","8.1","0","","14","113.4","667.0125","98","6.80625","0","2109.9375","0","0","True","8.1","False",""
"3808","1999-03-19 00:00:00","7.4","0","","6","44.4","711.4125","104","6.84050480769231","0","2120.55649038462","0","0","True","7.4","False",""
"3808","1999-04-15 00:00:00","7","0","","8","56","905.1125","131","6.90925572519084","0","2141.86927480916","0","0","True","7","False",""
"3808","1999-03-26 00:00:00","7.5","0","","7","52.5","763.9125","111","6.88209459459459","0","2133.44932432432","0","0","True","7.5","False",""
"3808","1999-04-01 00:00:00","7","0","","6","42","805.9125","117","6.88814102564102","0","2135.32371794872","0","0","True","7","False",""
"3808","1999-05-15 00:00:00","7.2","0","","9","64.8","1115.5125","161","6.92864906832298","0","2147.88121118012","0","0","True","7.2","False",""
"3808","1999-04-07 00:00:00","7.2","0","","6","43.2","849.1125","123","6.90335365853659","0","2140.03963414634","0","0","True","7.2","False",""
"3808","1999-04-22 00:00:00","6.8","0","","7","47.6","952.7125","138","6.90371376811594","0","2140.15126811594","0","0","True","6.8","False",""
"3808","1999-04-30 00:00:00","7","0","","8","56","1008.7125","146","6.9089897260274","0","2141.78681506849","0","0","True","7","False",""
"3813","1999-08-02 00:00:00","4","0","","36374","-736549.250666667","1147.98083333333","240","4.78325347222222","717.488020833333","1482.80857638889","0","0","True","4","False",""
"3813","1998-12-05 00:00:00","5.5","0","","0","5.5","5.5","0","0","0","0","0","0","True","5.5","False",""
"3813","1999-01-09 00:00:00","5.1","0","","35","168.0875","173.5875","35","4.95964285714286","0","1537.48928571429","0","0","True","5.1","False",""
"3813","1999-01-29 00:00:00","4.9","0","","20","98","271.5875","55","4.93795454545455","0","1530.76590909091","0","0","True","4.9","False",""
"3813","1999-05-06 00:00:00","5.5","0","","6","33","824.9875","152","5.42754934210526","0","1682.54029605263","0","0","True","5.5","False",""
"3813","1999-02-05 00:00:00","6.6","0","","7","46.2","317.7875","62","5.12560483870968","0","1588.9375","0","0","True","6.6","False",""
"3813","1999-02-13 00:00:00","6.3","0","","8","50.4","368.1875","70","5.25982142857143","0","1630.54464285714","0","0","True","6.3","False",""
"3813","1999-02-20 00:00:00","6.5","0","","7","45.5","413.6875","77","5.37256493506493","0","1665.49512987013","0","0","True","6.5","False",""
"3813","1999-02-27 00:00:00","7","0","","7","49","462.6875","84","5.50818452380952","0","1707.53720238095","0","0","True","7","False",""
"3813","1999-03-13 00:00:00","6.8","0","","14","95.2","557.8875","98","5.69272959183673","0","1764.74617346939","0","0","True","6.8","False",""
"3813","1999-03-19 00:00:00","6.2","0","","6","37.2","595.0875","104","5.72199519230769","0","1773.81850961538","0","0","True","6.2","False",""
"3813","1999-03-26 00:00:00","6","0","","7","42","637.0875","111","5.73952702702703","0","1779.25337837838","0","0","True","6","False",""
"3813","1999-04-15 00:00:00","3.6","0","","8","28.8","735.4875","131","5.61440839694656","0","1740.46660305343","0","0","True","3.6","False",""
"3813","1999-04-01 00:00:00","6","0","","6","36","673.0875","117","5.75288461538462","0","1783.39423076923","0","0","True","6","False",""
"3813","1999-04-07 00:00:00","5.6","0","","6","33.6","706.6875","123","5.74542682926829","0","1781.08231707317","0","0","True","5.6","False",""
"3813","1999-04-22 00:00:00","3.5","0","","7","24.5","759.9875","138","5.50715579710145","0","1707.21829710145","0","0","True","3.5","False",""
