SERIE,FNAC,FECR,TIPO,RAZA,SEXO,COLORPE,OBSER,PROCEDE,ESTADO,PESOI,PRECIO,PPIES,PESACT,FULPES,NPARTO,DPARTO,NSERVI,FECUP,ABORTO,EDADPP,TIPOAP,LOTE,LTEMP,ULTGDP,COD,CODAP,Pa1,Pa2,Pa3,Pa4,UA,EsPajuelaPadre,Vaquera,Historia,NCRIAS,NPARREPOR,NABOREPOR,PESOPP,LPAST,FECS,FECUA,PESDES,COLORBO,COLORMO,CODP,NOMBRE,ASOC1,SERIE1,FECDES,TIPOPS,CODPS,CODM,PAJU,RAZAMADRE,FECNACMADRE,RAZAPADRE,FECNACPADRE,NOMBREP,NOMBREM,NROREGMADRE1,ASOCMADRE1,ASOCPADRE1,NROREGPADRE1,ASOCPADRE2
27274,2007-10-16T00:00:00,2007-10-16T00:00:00,MAUTE,BRAHMAN,1,,Esta en la luna Renco - Confirmado luis g,AGROPECUARIA LA LUNA,CONDICION 1,26,273000,,105,2008-06-26T00:00:00,,,0,,,,,SEIS,,0.311,03,,0,0,0,0,0.5,0,,0,0,0,0,,,2010-07-15T00:00:00,,105,,,8200T,,,,2008-06-26T00:00:00,,,23148,,BRAHMAN,2003-09-02T00:00:00,BRAHMAN,2002-09-20T00:00:00,,,,,,,
27275,2007-10-16T00:00:00,2007-10-16T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,806000,,310,2010-04-27T00:00:00,3,395,0,2013-11-19T00:00:00,,03-04,VACA VACIA SIN CRIA,SEIS,LOTE SEIS 2015,0.175,13,13,28,0,0,0,1,1,,0,3,3,0,0,,2015-12-18T00:00:00,,190,,,4271,,,,2008-06-12T00:00:00,,,21021,,BRAHMAN,2001-04-10T00:00:00,BRAHMAN,,,,,,,,
27276,2007-10-17T00:00:00,2007-10-17T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,30,650000,,250,2008-06-12T00:00:00,,,0,,,,,DOS,,0.921,03,,30,0,0,0,0,0,,0,0,0,0,,,2008-07-28T00:00:00,,250,,,,,,,2008-06-12T00:00:00,,,20162,,BRAHMAN,2000-09-11T00:00:00,,,,,,,,,
27278,2007-10-19T00:00:00,2007-10-19T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,598000,,230,2008-06-12T00:00:00,,,0,,,,,DOS,,0.852,03,,28,0,0,0,0.25,0,,0,0,0,0,,,2008-07-28T00:00:00,,230,,,,,,,2008-06-12T00:00:00,,,21011,,BRAHMAN,2000-11-09T00:00:00,,,,,,,,,
27279,2007-10-19T00:00:00,2007-10-19T00:00:00,BECERRA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,2600,,28,,,,0,,,,,DOS,,0,02,,0,0,0,0,0.25,1,,0,0,0,0,,,2007-12-13T00:00:00,,,,,,,,,,,,20275,,BRAHMAN,2000-11-01T00:00:00,,,,,,,,,
27280,2007-10-22T00:00:00,2007-10-22T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,702000,,270,2008-08-05T00:00:00,,,0,,,,,TOROS PADROTES,,0.84,04,,0,0,0,0,0.5,0,,0,0,0,0,,,2009-09-28T00:00:00,,270,,,,,,,2008-08-05T00:00:00,,,23385,,BRAHMAN,2003-10-24T00:00:00,,,,,,,,,
27281,2007-10-22T00:00:00,2007-10-22T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,819000,,315,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.154,05,,29,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,210,,,7961T,,,,2008-06-12T00:00:00,,,22240,,BRAHMAN,2002-09-13T00:00:00,BRAHMAN,2001-12-15T00:00:00,,,,,,,
27282,2007-10-22T00:00:00,2007-10-22T00:00:00,BECERRA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,2600,,29,,,,0,,,,,DESCARTE,,0,02,,0,0,0,0,0.25,1,,0,0,0,0,,,2010-10-15T00:00:00,,,,,,,,,,,,9084,,BRAHMAN,1999-06-12T00:00:00,,,,,,,,,
27283,2007-10-17T00:00:00,2007-10-17T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,27,871000,,335,2010-04-27T00:00:00,1,0,0,2011-04-27T00:00:00,,03-06,NOVILLA,CUATRO,LOTE CUATRO 2012,0.197,13,05,27,0,0,0,1,0,,0,1,1,0,0,,2012-09-10T00:00:00,,200,,,7162T,,,,2008-06-12T00:00:00,,,7334,,BRAHMAN,1997-06-19T00:00:00,BRAHMAN,2000-01-29T00:00:00,HM SAN BLAS 7162,,,,,,
27284,2007-10-17T00:00:00,2007-10-17T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,780000,,300,2010-04-27T00:00:00,4,427,0,2014-05-28T00:00:00,,03-05,VACA VACIA,TRES,LOTE TRES 2015,0.132,13,11,29,0,0,0,1,0,,0,4,4,0,0,,2015-12-18T00:00:00,,210,,,,,,,2008-06-12T00:00:00,,,5366,,BRAHMAN,1995-06-05T00:00:00,,,,,,,,,
27285,2007-10-17T00:00:00,2007-10-17T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,26,741000,,285,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.139,05,,26,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,190,,,7162T,,,,2008-06-12T00:00:00,,,6042,,BRAHMAN,1996-04-29T00:00:00,BRAHMAN,2000-01-29T00:00:00,HM SAN BLAS 7162,,,,,,
27286,2007-10-17T00:00:00,2007-10-17T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,26,429000,,165,2008-06-12T00:00:00,,,0,,,,,DESCARTE,,0.582,04,,26,0,0,0,0.5,0,,0,0,0,0,,,2010-10-15T00:00:00,,165,,,8121T,,,,2008-06-12T00:00:00,,,22219,,BRAHMAN,2002-09-07T00:00:00,BRAHMAN,2002-03-01T00:00:00,,,,,,,
27287,2007-10-23T00:00:00,2007-10-23T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,32,572000,,220,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.807,03,,32,0,0,0,0.5,0,,0,0,0,0,,,2008-07-28T00:00:00,,220,,,8295T,,,,2008-06-12T00:00:00,,,9028,,BRAHMAN,1999-04-27T00:00:00,BRAHMAN,2002-10-26T00:00:00,,,,,,,
27288,2007-10-23T00:00:00,2007-10-23T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,520000,,200,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.738,03,,28,0,0,0,0.25,0,,0,0,0,0,,,2008-07-28T00:00:00,,200,,,7762T,,,,2008-06-12T00:00:00,,,21215,,BRAHMAN,2001-09-10T00:00:00,BRAHMAN,2001-10-18T00:00:00,,,,,,,
27289,2007-10-22T00:00:00,2007-10-22T00:00:00,BECERRO,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,2600,,28,,,,0,,,,,SEIS,,0,01,,0,0,0,0,0.25,0,,0,0,0,0,,,2007-10-25T00:00:00,,,,,7762T,,,,,,,22159,,BRAHMAN,2002-09-02T00:00:00,BRAHMAN,2001-10-18T00:00:00,,,,,,,
27290,2007-10-22T00:00:00,2007-10-22T00:00:00,BECERRO,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,2600,,28,,,,0,,,,,DESCARTE,,0,01,,0,0,0,0,0.25,0,,0,0,0,0,,,2010-10-15T00:00:00,,,,,7162T,,,,,,,5456,,BRAHMAN,1995-07-15T00:00:00,BRAHMAN,2000-01-29T00:00:00,HM SAN BLAS 7162,,,,,,
27291,2007-10-23T00:00:00,2007-05-07T00:00:00,BECERRA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,30,78000,,30,,,,0,,,,,DESCARTE,,0,02,,0,0,0,0,0.25,0,,0,0,0,0,,,2010-10-15T00:00:00,,,,,8275T,,,,,,,7232,,BRAHMAN,1997-08-19T00:00:00,BRAHMAN,2006-06-13T00:00:00,,,,,,,
